36201,"770  ","7700921","トクシマケン","トクシマシ","サカエマチ","徳島県","徳島市","栄町",0,0,1,0,0,0
37201,"760  ","7600007","カガワケン","タカマツシ","チュウオウチョウ","香川県","高松市","中央町",0,0,0,0,0,0
38201,"79111","7911104","エヒメケン","マツヤマシ","キタドイ","愛媛県","松山市","北土居",0,0,1,0,0,0
39205,"78111","7811125","コウチケン","トサシ","シャクゼンジ","高知県","土佐市","積善寺",0,0,0,0,0,0
41201,"840  ","8400015","サガケン","サガシ","キハラ","佐賀県","佐賀市","木原",0,0,1,0,0,0
42202,"85704","8570431","ナガサキケン","サセボシ","アサゴチョウ","長崎県","佐世保市","浅子町",0,0,0,0,0,0
43214,"86922","8692236","クマモトケン","アソシ","アトガセ","熊本県","阿蘇市","跡ケ瀬",0,0,0,0,0,0
44202,"874  ","8740001","オオイタケン","ベップシ","オサカ","大分県","別府市","小坂",0,0,0,0,0,0
45206,"883  ","8830044","ミヤザキケン","ヒュウガシ","ウエマチ","宮崎県","日向市","上町",0,0,1,0,0,0
46201,"890  ","8900074","カゴシマケン","カゴシマシ","ウスキチョウ","鹿児島県","鹿児島市","宇宿町",0,0,0,0,0,0
